epoch,phase,train_loss,train_acc,val_loss,val_acc
1,1,0.5110,0.5094,0.8100,0.2010
2,1,0.4757,0.4997,0.7332,0.2423
3,1,0.4371,0.5302,0.7670,0.2528
4,1,0.4436,0.5262,0.7542,0.2878
5,1,0.4326,0.5428,0.6821,0.3690
6,1,0.4221,0.5722,0.6788,0.3852
7,1,0.4108,0.5788,0.6854,0.3859
8,1,0.4082,0.5893,0.6967,0.3578
9,1,0.3882,0.6157,0.7031,0.3775
10,1,0.3884,0.6282,0.6485,0.4370
11,2,0.2964,0.7444,0.4270,0.7269
12,2,0.1688,0.8784,0.2833,0.8284
13,2,0.1198,0.9234,0.2376,0.8655
14,2,0.0994,0.9318,0.1960,0.8824
15,2,0.0865,0.9444,0.1710,0.9013
