epoch,phase,train_loss,train_acc,val_loss,val_acc
1,1,0.5180,0.4998,0.8116,0.1959
2,1,0.4836,0.4993,0.7640,0.2036
3,1,0.4726,0.5016,0.7668,0.2218
4,1,0.4553,0.5145,0.7184,0.2946
5,1,0.4531,0.5231,0.7389,0.3023
6,1,0.4470,0.5371,0.7414,0.3030
7,1,0.4426,0.5448,0.7492,0.3037
8,1,0.4390,0.5519,0.7146,0.3429
9,1,0.4410,0.5486,0.7146,0.3415
10,1,0.4311,0.5656,0.7052,0.3667
11,2,0.3663,0.6653,0.5231,0.6382
12,2,0.2650,0.7866,0.3891,0.7705
13,2,0.1948,0.8513,0.2778,0.8642
14,2,0.1591,0.8916,0.2177,0.8782
15,2,0.1430,0.8980,0.2172,0.8810
